Date,Ticker,Open,High,Low,Close,Volume
2024-11-20,AAPL,228.05999755859375,229.92999267578125,225.88999938964844,229.0,35169600
2024-11-21,AAPL,228.8800048828125,230.16000366210938,225.7100067138672,228.52000427246094,42108300
2024-11-22,AAPL,228.05999755859375,230.72000122070312,228.05999755859375,229.8699951171875,38168300
2024-11-25,AAPL,231.4600067138672,233.25,229.74000549316406,232.8699951171875,90152800
2024-11-26,AAPL,233.3300018310547,235.57000732421875,233.3300018310547,235.05999755859375,45986200
2024-11-27,AAPL,234.47000122070312,235.69000244140625,233.80999755859375,234.92999267578125,33498400
2024-11-29,AAPL,234.80999755859375,237.80999755859375,233.97000122070312,237.3300018310547,28481400
2024-12-02,AAPL,237.27000427246094,240.7899932861328,237.16000366210938,239.58999633789062,48137100
2024-12-03,AAPL,239.80999755859375,242.75999450683594,238.89999389648438,242.64999389648438,38861000
2024-12-04,AAPL,242.8699951171875,244.11000061035156,241.25,243.00999450683594,44383900
2024-12-05,AAPL,243.99000549316406,244.5399932861328,242.1300048828125,243.0399932861328,40033900
2024-12-06,AAPL,242.91000366210938,244.6300048828125,242.0800018310547,242.83999633789062,36870600
2024-12-09,AAPL,241.8300018310547,247.24000549316406,241.75,246.75,44649200
2024-12-10,AAPL,246.88999938964844,248.2100067138672,245.33999633789062,247.77000427246094,36914800
2024-12-11,AAPL,247.9600067138672,250.8000030517578,246.25999450683594,246.49000549316406,45205800
2024-12-12,AAPL,246.88999938964844,248.74000549316406,245.67999267578125,247.9600067138672,32777500
2024-12-13,AAPL,247.82000732421875,249.2899932861328,246.24000549316406,248.1300048828125,33155300
2024-12-16,AAPL,247.99000549316406,251.3800048828125,247.64999389648438,251.0399932861328,51694800
2024-12-17,AAPL,250.0800018310547,253.8300018310547,249.77999877929688,253.47999572753906,51356400
2024-12-18,AAPL,252.16000366210938,254.27999877929688,247.74000549316406,248.0500030517578,56774100
2024-12-19,AAPL,247.5,252.0,247.08999633789062,249.7899932861328,60882300
2024-12-20,AAPL,248.0399932861328,255.0,245.69000244140625,254.49000549316406,147495300
2024-12-23,AAPL,254.77000427246094,255.64999389648438,253.4499969482422,255.27000427246094,40858800
2024-12-24,AAPL,255.49000549316406,258.2099914550781,255.2899932861328,258.20001220703125,23234700
2024-12-26,AAPL,258.19000244140625,260.1000061035156,257.6300048828125,259.0199890136719,27237100
2024-12-27,AAPL,257.8299865722656,258.70001220703125,253.05999755859375,255.58999633789062,42355300
2024-12-30,AAPL,252.22999572753906,253.5,250.75,252.1999969482422,35557500
2024-12-31,AAPL,252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453,39480700
2025-01-02,AAPL,248.92999267578125,249.10000610351562,241.82000732421875,243.85000610351562,55740700
2025-01-03,AAPL,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40244100
2025-01-06,AAPL,244.30999755859375,247.3300018310547,243.1999969482422,245.0,45045600
2025-01-07,AAPL,242.97999572753906,245.5500030517578,241.35000610351562,242.2100067138672,40856000
2025-01-08,AAPL,241.9199981689453,243.7100067138672,240.0500030517578,242.6999969482422,37628900
2025-01-10,AAPL,240.00999450683594,240.16000366210938,233.0,236.85000610351562,61710900
2025-01-13,AAPL,233.52999877929688,234.6699981689453,229.72000122070312,234.39999389648438,49630700
2025-01-14,AAPL,234.75,236.1199951171875,232.47000122070312,233.27999877929688,39435300
2025-01-15,AAPL,234.63999938964844,238.9600067138672,234.42999267578125,237.8699951171875,39832000
2025-01-16,AAPL,237.35000610351562,238.00999450683594,228.02999877929688,228.25999450683594,71759100
2025-01-17,AAPL,232.1199951171875,232.2899932861328,228.47999572753906,229.97999572753906,68488300
2025-01-21,AAPL,224.0,224.4199981689453,219.3800048828125,222.63999938964844,98070400
2025-01-22,AAPL,219.7899932861328,224.1199951171875,219.7899932861328,223.8300018310547,64126500
2025-01-23,AAPL,224.74000549316406,227.02999877929688,222.3000030517578,223.66000366210938,60234800
2025-01-24,AAPL,224.77999877929688,225.6300048828125,221.41000366210938,222.77999877929688,54697900
2025-01-27,AAPL,224.02000427246094,232.14999389648438,223.97999572753906,229.86000061035156,94863400
2025-01-28,AAPL,230.85000610351562,240.19000244140625,230.80999755859375,238.25999450683594,75707600
2025-01-29,AAPL,234.1199951171875,239.86000061035156,234.00999450683594,239.36000061035156,45486100
2025-01-30,AAPL,238.6699981689453,240.7899932861328,237.2100067138672,237.58999633789062,55658300
2025-01-31,AAPL,247.19000244140625,247.19000244140625,233.44000244140625,236.0,100959800
2025-02-03,AAPL,229.99000549316406,231.8300018310547,225.6999969482422,228.00999450683594,73063300
2025-02-04,AAPL,227.25,233.1300048828125,226.64999389648438,232.8000030517578,45067300
2025-02-05,AAPL,228.52999877929688,232.6699981689453,228.27000427246094,232.47000122070312,39620300
2025-02-06,AAPL,231.2899932861328,233.8000030517578,230.42999267578125,233.22000122070312,29925300
2025-02-07,AAPL,232.60000610351562,234.0,227.25999450683594,227.6300048828125,39707200
2025-02-10,AAPL,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600
2025-02-11,AAPL,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400
2025-02-12,AAPL,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300
2025-02-13,AAPL,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100
2025-02-14,AAPL,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200
2025-02-18,AAPL,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500
2025-02-19,AAPL,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200
